"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"246","Finland",,"0231","Hen eggs in shell, fresh",2010,7,"7%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2010,7,"7%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2010,9,"9%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"22251.01","Cheese from whole cow milk",2010,3,"3%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"22290","Dairy products n.e.c.",2010,3,"3%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"276","Germany",,"22290","Dairy products n.e.c.",2011,2.15,"0.9-3.4",,,,,,,"No Data Collection Specified","EHI 2011",,"Not found"
"288","Ghana",,"21121","Meat of chickens, fresh or chilled",2011,1.8,"1.8",,,"Farm",,"","","Literature Review","Egyir, 2011","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",""
"356","India",,"02211","Raw milk of cattle",2016,0.21,"0.21%",,"Harvesting","Harvest",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"02211","Raw milk of cattle",2016,0.71,"0.71%",,"Collection, Harvesting, Packaging, Transportation","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Tamil Nadu","02211","Raw milk of cattle",2016,0.17,"0.17%",,"Collection, Harvesting, Packaging, Retailing, Storage, Transportation, Wholesale","Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"02211","Raw milk of cattle",2016,0.21,"0.21%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Gujarat","02211","Raw milk of cattle",2016,1.28,"1.28%",,"Collection, Grading, Harvesting, Retailing, Storage, Transportation, Wholesale","Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"02211","Raw milk of cattle",2016,0.92,"0.92%",,"Collection, Harvesting, Packaging, Processing, Storage, Transportation","Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Andhra Pradesh","0231","Hen eggs in shell, fresh",2016,8.34,"8.34%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0231","Hen eggs in shell, fresh",2016,2.31,"2.31%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"0231","Hen eggs in shell, fresh",2016,7.19,"7.19%",,"Collection, Grading, Packaging, Storage, Transportation","Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India","Punjab","0231","Hen eggs in shell, fresh",2016,3.7,"3.70%",,,"Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2016,2.71,"2.71%",,,"Wholesale",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2016,1.99,"1.99%",,"Grading, Harvesting, Transportation","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2016,1.78,"1.78%",,"Harvesting","Harvest",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2016,0.72,"0.72%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"02211","Raw milk of cattle",2014,0.3,"0.3",,"Packaging","Farm",,,"4 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"02211","Raw milk of cattle",2014,0.21,"0.21",,"Processing","Storage",,"Poor Storage And Cooling Infrastrures","4 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"02211","Raw milk of cattle",2014,0.18,"0.18",,"Collection","Farm",,,"4 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"02211","Raw milk of cattle",2014,0.02,"0.02",,"Transportation","Transport",,"","4 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",""
"356","India",,"02211","Raw milk of cattle",2014,0.92,"0.92",,,"Whole supply chain",,"Physical Losses",,"Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"02211","Raw milk of cattle",2014,0.21,"0.21",,"Harvesting","Harvest",,,"4 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,0.89,"0.89",,"Retailing","Storage",,,"6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,1.92,"1.92",,"Collection","Farm",,,"6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,1.35,"1.35",,"Wholesale","Storage",,,"6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,0.36,"0.36",,"Transportation","Transport",,"","6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",""
"356","India",,"0231","Hen eggs in shell, fresh",2014,1.4,"1.4",,"Grading, Sorting","Farm",,,"6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,7.19,"7.19",,,"Whole supply chain",,"Physical Losses",,"Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"0231","Hen eggs in shell, fresh",2014,0.07,"0.07",,"Storage","Storage",,"","6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",""
"356","India",,"0231","Hen eggs in shell, fresh",2014,1.21,"1.21",,"Packaging","Farm",,,"6 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,0.25,"0.25",,"Retailing","Storage",,"Poor Storage And Cooling Infrastrures","5 agro-climatic zones","Survey","S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
